Name,Price,Specs,Images
Latitude 5540 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$989.00</span>]","['13th Gen Intel® Core™ i7-1365U vPro®', 'Windows 11 Pro', 'Intel 13th Generation Core i7-1365U vPro, Intel Integrated Graphics, TBT4', '16 GB DDR4', '256 GB SSD']","https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-5540-non-touch/la5540nt-rgb-cnb-05000ff090-gy.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
New Inspiron 15 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$699.99</span>]","['13th Gen Intel® Core™ i7-1365U vPro®', 'Windows 11 Pro', 'Intel 13th Generation Core i7-1365U vPro, Intel Integrated Graphics, TBT4', '16 GB DDR4', '256 GB SSD']","https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/inspiron/15-3530-non-touch/in3530nt-cnb-05000ff090-sl-metal.psd?$S7-480wide$&layer=1&perspective=632,740,4364,744,4356,2856,652,2860&pos=-226,-623&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 5550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$1,029.00</span>]","['13th Gen Intel® Core™ i7-1365U vPro®', 'Windows 11 Pro', 'Intel 13th Generation Core i7-1365U vPro, Intel Integrated Graphics, TBT4', '16 GB DDR4', '256 GB SSD']","https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-5550-non-touch/la5550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Precision 3581 Workstation,"[<span class=""sr-only"">Dell Price</span>, <span>$1,349.00</span>]","['13th Gen Intel® Core™ i7-1365U vPro®', 'Windows 11 Pro', 'Intel 13th Generation Core i7-1365U vPro, Intel Integrated Graphics, TBT4', '16 GB DDR4', '256 GB SSD']","https://i.dell.com/is/image/DellContent/content/dam/images/products/workstations/precision-mobile/15-3581-non-touch/pr3581nt-rgb-cnb-05000ff090-gy.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 3550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$939.00</span>]","['13th Gen Intel® Core™ i7-1365U vPro®', 'Windows 11 Pro', 'Intel 13th Generation Core i7-1365U vPro, Intel Integrated Graphics, TBT4', '16 GB DDR4', '256 GB SSD']","https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-3550-non-touch/la3550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=625,819,3375,819,3375,2367,625,2367&pos=-307,-686&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 5550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$1,289.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-5550-non-touch/la5550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 7640 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$1,399.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/16-7640-non-touch-ms/la7640nt-ms-cnb-05000ff090-gy-nonfpr.psd?$S7-480wide$&layer=1&perspective=605,693,3395,693,3382,2425,618,2425&pos=-0,-594&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
XPS 14 Laptop,[],,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/xps/14-9440-non-touch/xs9440nt-cnb-05000ff090-sl.psd?$S7-480wide$&layer=1&perspective=606,658,3392,658,3392,2408,606,2408&pos=-286,-602&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 3550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$789.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-3550-non-touch/la3550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=625,819,3375,819,3375,2367,625,2367&pos=-307,-686&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 5550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$1,829.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-5550-non-touch/la5550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Precision 5680 Workstation,"[<span class=""sr-only"">Dell Price</span>, <span>$1,709.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/workstations/precision-mobile/16-5680-non-touch/pr5680nt-cnb-05000ff090-bk.psd?$S7-480wide$&layer=1&perspective=642,688,3358,688,3358,2392,642,2392&pos=-119,-613&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Precision 5680 Workstation,"[<span class=""sr-only"">Dell Price</span>, <span>$2,589.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/workstations/precision-mobile/16-5680-non-touch/pr5680nt-cnb-05000ff090-bk.psd?$S7-480wide$&layer=1&perspective=642,688,3358,688,3358,2392,642,2392&pos=-119,-613&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
New Inspiron 14 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$899.99</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/inspiron/14-5440-plastic-non-touch/in5440nt-cnb-05000ff095-ice-bl-fpr-plastic.psd?$S7-480wide$&layer=1&perspective=650,698,3350,698,3351,2386,649,2386&pos=-323,-592&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
New Inspiron 16 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$749.99</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/inspiron/16-5640-non-touch/in5640nt-cnb-05000ff095-ice-bl.psd?$S7-480wide$&layer=1&perspective=601,673,3399,673,3400,2424,600,2424&pos=-249,-591&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
XPS 14 Laptop,[],,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/xps/14-9440-non-touch/xs9440nt-cnb-05000ff090-sl.psd?$S7-480wide$&layer=1&perspective=606,658,3392,658,3392,2408,606,2408&pos=-286,-602&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 5450 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$1,229.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-5540-non-touch/la5540nt-rgb-cnb-05000ff090-gy.psd?$S7-480wide$&layer=1&perspective=680,844,4320,844,4320,2901,678,2901&pos=-291,-678&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Latitude 3550 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$699.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/latitude/15-3550-non-touch/la3550nt-cnb-05000ff090-gy-campaign.psd?$S7-480wide$&layer=1&perspective=625,819,3375,819,3375,2367,625,2367&pos=-307,-686&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
New Inspiron 16 Laptop,"[<span class=""sr-only"">Dell Price</span>, <span>$999.99</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/laptops-and-2-in-1s/inspiron/16-5640-non-touch/in5640nt-cnb-05000ff095-ice-bl.psd?$S7-480wide$&layer=1&perspective=601,673,3399,673,3400,2424,600,2424&pos=-249,-591&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
Precision 7680 Workstation,"[<span class=""sr-only"">Dell Price</span>, <span>$1,889.00</span>]",,"https://i.dell.com/is/image/DellContent/content/dam/images/products/workstations/precision-mobile/16-7680-touch/pr7680t-cnb-05000ff090-gy.psd?$S7-480wide$&layer=1&perspective=652,498,3346,498,3346,2188,652,2188&pos=-93,-413&src=is%7BDellContent/adobestock-531417361?size=4000,4000%7D"
